"","Div","Date","Day","Month","HomeTeam","AwayTeam","FTHG","FTAG","Result","Hpoints","Apoints","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","season","UtcDate","HTop6","ATop6","HLast5GamesGoals","ALast5GamesGoals","HLast3GamesGoalsVSOpposition","ALast3GamesGoalsVSOpposition","HLast5GamesGoalsConceded","ALast5GamesGoalsConceded","HForm","AForm","HomeGoalsPredictionTree","AwayGoalsPredictionTree","HomeGoalsPredictionReg","AwayGoalsPredictionReg"
"3181","E0","02/12/17","Tuesday","December","Arsenal","Man United",1,3,"A",0,3,"A",0,2,"A","A Marriner",33,8,15,4,11,10,12,1,3,2,0,1,"17/18",1512201600,1,1,2.6,1.2,2,0.666666666666667,0.2,1,15,7,1.7,1.18,2,1
"3183","E0","02/12/17","Tuesday","December","Chelsea","Newcastle",3,1,"H",3,0,"H",2,1,"H","K Friend",23,8,9,2,8,13,11,4,0,1,0,0,"17/18",1512201600,1,0,1.2,1,3.33333333333333,0.333333333333333,0.6,2,10,2,2.26,0.73,2,1
"3186","E0","02/12/17","Tuesday","December","Stoke","Swansea",2,1,"H",3,0,"H",2,1,"H","C Pawson",10,10,3,3,12,10,2,6,2,0,0,0,"17/18",1512201600,0,0,1,0.2,2.33333333333333,1.33333333333333,2.4,1.2,4,1,1.48,1.09,1,1
"3188","E0","02/12/17","Tuesday","December","West Brom","Crystal Palace",0,0,"D",1,1,"D",0,0,"D","M Oliver",20,10,6,2,11,10,3,7,3,1,0,0,"17/18",1512201600,0,0,1.2,0,1.66666666666667,2,2.2,2.2,3,1,1.48,1.09,1,1
"3190","E0","03/12/17","Wednesday","December","Man City","West Ham",2,1,"H",3,0,"H",0,1,"A","M Dean",24,7,8,4,5,7,10,4,2,2,0,0,"17/18",1512288000,1,0,4,0.6,2,1,0.8,1.8,15,3,2.26,0.73,3,1
"3195","E0","09/12/17","Thursday","December","Swansea","West Brom",1,0,"H",3,0,"H",0,0,"D","M Dean",18,7,3,1,8,18,6,3,2,5,0,0,"17/18",1512806400,0,0,0.8,0.4,2,0.333333333333333,1,1.2,4,2,1.48,1.09,1,1
"3196","E0","09/12/17","Thursday","December","Tottenham","Stoke",5,1,"H",3,0,"H",1,0,"H","R East",20,4,11,3,12,9,12,6,1,0,0,0,"17/18",1512806400,1,0,1.4,1.4,2.33333333333333,1.33333333333333,0.4,2.6,11,4,2.26,0.73,2,1
"3197","E0","09/12/17","Thursday","December","West Ham","Chelsea",1,0,"H",3,0,"H",1,0,"H","A Taylor",5,19,2,2,10,10,4,3,6,1,0,0,"17/18",1512806400,0,1,1,2.2,1,1.33333333333333,2.2,0.6,4,10,1.06,1.81,1,2
"3198","E0","10/12/17","Friday","December","Liverpool","Everton",1,1,"D",1,1,"D",1,0,"H","C Pawson",23,3,3,2,8,11,12,1,1,3,0,0,"17/18",1512892800,1,0,1.6,0.8,2.66666666666667,0.666666666666667,0.4,2.6,9,2,2.26,0.73,2,1
"3199","E0","10/12/17","Friday","December","Man United","Man City",1,2,"A",0,3,"A",1,1,"D","M Oliver",8,14,5,7,16,10,2,8,4,2,0,0,"17/18",1512892800,1,1,2.8,2.8,1.66666666666667,1.33333333333333,0.2,0.6,15,15,1.7,1.18,2,1
"3200","E0","10/12/17","Friday","December","Southampton","Arsenal",1,1,"D",1,1,"D",1,0,"H","R Madley",6,11,3,6,12,10,4,5,2,2,0,0,"17/18",1512892800,0,1,1.4,1.6,2,0.666666666666667,1,1.4,7,7,1.06,1.81,1,2
"3201","E0","12/12/17","Monday","December","Burnley","Stoke",1,0,"H",3,0,"H",0,0,"D","M Jones",10,14,2,7,6,14,6,4,0,0,0,0,"17/18",1513065600,0,0,1,1.4,0.666666666666667,0.333333333333333,0.4,3.2,10,4,1.48,1.09,1,1
"3204","E0","13/12/17","Tuesday","December","Liverpool","West Brom",0,0,"D",1,1,"D",0,0,"D","P Tierney",14,6,5,1,16,6,5,7,1,0,0,0,"17/18",1513152000,1,0,1.6,0.4,2,1.33333333333333,0.4,1,9,2,2.26,0.73,2,1
"3206","E0","13/12/17","Tuesday","December","Newcastle","Everton",0,1,"A",0,3,"A",0,1,"A","M Atkinson",16,7,4,4,10,11,4,1,1,2,1,0,"17/18",1513152000,0,0,0.8,1,1,2,1.6,2,4,3,1.48,1.09,1,1
"3207","E0","13/12/17","Tuesday","December","Southampton","Leicester",1,4,"A",0,3,"A",0,3,"A","C Kavanagh",12,16,4,11,13,9,9,9,1,0,0,0,"17/18",1513152000,0,0,1.6,1.6,2.33333333333333,0.666666666666667,1,1.2,8,9,1.48,1.09,1,1
"3208","E0","13/12/17","Tuesday","December","Swansea","Man City",0,4,"A",0,3,"A",0,2,"A","A Taylor",7,23,3,10,12,6,2,5,0,0,0,0,"17/18",1513152000,0,1,0.8,2,1.33333333333333,2.66666666666667,0.6,0.8,7,15,1.06,1.81,1,2
"3210","E0","13/12/17","Tuesday","December","West Ham","Arsenal",0,0,"D",1,1,"D",0,0,"D","J Moss",6,22,0,3,9,9,1,7,1,0,0,0,"17/18",1513152000,0,1,0.8,1.8,1.66666666666667,3.33333333333333,1.6,1.6,7,7,1.06,1.81,1,2
"3211","E0","16/12/17","Saturday","December","Arsenal","Newcastle",1,0,"H",3,0,"H",1,0,"H","S Attwell",23,10,5,2,13,9,7,5,2,1,0,0,"17/18",1513411200,1,0,2.4,1.2,2.66666666666667,0.333333333333333,0.8,2.4,12,2,2.26,0.73,2,1
"3213","E0","16/12/17","Saturday","December","Chelsea","Southampton",1,0,"H",3,0,"H",1,0,"H","R East",24,6,8,2,8,16,8,4,1,3,0,0,"17/18",1513411200,1,0,1.8,0.8,2,2,0.8,1.8,12,2,2.26,0.73,2,1
"3214","E0","16/12/17","Saturday","December","Leicester","Crystal Palace",0,3,"A",0,3,"A",0,2,"A","M Atkinson",11,13,2,6,12,13,6,4,2,2,1,0,"17/18",1513411200,0,0,1.2,0,1.33333333333333,0.666666666666667,0.8,1.2,10,2,1.48,1.09,1,1
"3215","E0","16/12/17","Saturday","December","Man City","Tottenham",4,1,"H",3,0,"H",1,0,"H","C Pawson",20,7,11,2,13,20,5,1,2,4,0,0,"17/18",1513411200,1,1,3.4,1.2,2.33333333333333,1.66666666666667,1,1.2,15,4,1.7,1.18,2,1
"3216","E0","16/12/17","Saturday","December","Stoke","West Ham",0,3,"A",0,3,"A",0,1,"A","G Scott",17,14,0,7,12,13,7,9,2,1,0,0,"17/18",1513411200,0,0,1.4,0.8,1.33333333333333,1,1.8,2.2,7,2,1.48,1.09,1,1
"3219","E0","17/12/17","Sunday","December","West Brom","Man United",1,2,"A",0,3,"A",0,2,"A","A Taylor",12,8,5,3,14,7,6,3,1,3,0,0,"17/18",1513497600,0,1,1.2,1.6,1,1.33333333333333,2.2,1.2,3,7,1.06,1.81,1,2
"3220","E0","18/12/17","Monday","December","Everton","Swansea",3,1,"H",3,0,"H",1,1,"D","J Moss",12,8,7,3,12,12,6,3,2,3,0,0,"17/18",1513584000,0,0,2.2,0.4,0.666666666666667,1,1.6,1.6,9,0,1.48,1.09,2,1
"3221","E0","22/12/17","Saturday","December","Arsenal","Liverpool",3,3,"D",1,1,"D",0,1,"A","M Atkinson",11,14,4,9,9,11,7,8,1,0,0,0,"17/18",1513929600,1,1,2.2,3.4,2.33333333333333,1.66666666666667,0.8,1.2,12,12,1.7,1.18,2,1
"3223","E0","23/12/17","Sunday","December","Burnley","Tottenham",0,3,"A",0,3,"A",0,1,"A","M Oliver",5,18,2,8,10,10,4,4,1,2,0,0,"17/18",1514016000,0,1,1,0.6,1.33333333333333,1.33333333333333,0.2,2,12,1,1.06,1.81,1,1
"3224","E0","23/12/17","Sunday","December","Everton","Chelsea",0,0,"D",1,1,"D",0,0,"D","R Madley",5,25,0,8,8,4,2,7,3,0,0,0,"17/18",1514016000,0,1,2.8,1.8,2,3.33333333333333,1.6,0.6,12,10,1.06,1.81,1,2
"3225","E0","23/12/17","Sunday","December","Leicester","Man United",2,2,"D",1,1,"D",1,1,"D","J Moss",11,19,3,6,19,8,4,6,2,2,1,0,"17/18",1514016000,0,1,1,2,2,2.33333333333333,1.2,1.4,9,9,1.06,1.81,1,2
